Date and time,Event String,Event Data String
7/15/2024 3:40:33 PM,Boiler Ready,0
7/15/2024 3:40:33 PM,Start Pre-Purge,10.00
7/15/2024 3:40:43 PM,Pre-Purge Complete,10.076563
7/15/2024 3:40:45 PM,Pilot On,TRUE
7/15/2024 3:40:48 PM,Pilot Proved,31.092437
7/15/2024 3:40:48 PM,Pilot Proved,32.773109
7/15/2024 3:40:48 PM,Pilot Proved,33.613445
7/15/2024 3:40:48 PM,Pilot Proved,34.453782
7/15/2024 3:40:48 PM,Pilot Proved,36.134454
7/15/2024 3:40:48 PM,Pilot Proved,37.815126
7/15/2024 3:40:48 PM,Pilot Proved,42.857143
7/15/2024 3:40:48 PM,Pilot Proved,43.697479
7/15/2024 3:40:48 PM,Pilot Proved,45.378151
7/15/2024 3:40:48 PM,Pilot Proved,47.058824
7/15/2024 3:40:48 PM,Pilot Proved,47.899160
7/15/2024 3:40:48 PM,Pilot Proved,48.739496
7/15/2024 3:40:48 PM,Pilot Proved,49.579832
7/15/2024 3:40:48 PM,Pilot Proved,50.420168
7/15/2024 3:40:49 PM,Force Draft Fan ON,TRUE
7/15/2024 3:40:50 PM,Boiler Running,10.670857
7/15/2024 3:41:00 PM,Start Shutdown Purge,10.000000
7/15/2024 3:41:10 PM,Shutdown Purge Complete,
7/15/2024 3:49:11 PM,Boiler Initialized,0
7/15/2024 3:49:13 PM,Boiler Ready,0
7/15/2024 3:49:24 PM,Start Pre-Purge,10.00
7/15/2024 3:49:34 PM,Pre-Purge Complete,10.048146
7/15/2024 3:49:36 PM,Pilot On,TRUE
7/15/2024 3:49:48 PM,Pilot Proved,31.092437
7/15/2024 3:49:48 PM,Pilot Proved,34.453782
7/15/2024 3:49:48 PM,Pilot Proved,40.336134
7/15/2024 3:49:48 PM,Pilot Proved,42.857143
7/15/2024 3:49:48 PM,Pilot Proved,45.378151
7/15/2024 3:49:48 PM,Pilot Proved,46.218487
7/15/2024 3:49:48 PM,Pilot Proved,47.058824
7/15/2024 3:49:48 PM,Pilot Proved,47.899160
7/15/2024 3:49:51 PM,Force Draft Fan ON,TRUE
7/15/2024 3:49:52 PM,Boiler Running,10.366577
7/15/2024 3:49:55 PM,Start Shutdown Purge,10.000000
7/15/2024 3:49:55 PM,Shutdown Purge Complete,
7/15/2024 3:51:27 PM,Boiler Initialized,0
7/15/2024 3:51:31 PM,Boiler Ready,0
7/15/2024 3:51:32 PM,Start Pre-Purge,10.00
7/15/2024 3:51:57 PM,Pre-Purge Complete,14.090873
7/15/2024 3:52:00 PM,Pilot On,TRUE
7/15/2024 3:52:06 PM,Pilot Proved,31.092437
7/15/2024 3:52:06 PM,Pilot Proved,31.932773
7/15/2024 3:52:06 PM,Pilot Proved,35.294118
7/15/2024 3:52:06 PM,Pilot Proved,36.134454
7/15/2024 3:52:06 PM,Pilot Proved,42.016807
7/15/2024 3:52:06 PM,Pilot Proved,43.697479
