Date and time,Event String,Event Data String
7/11/2024 11:01:37 AM,Boiler Ready,0
7/11/2024 11:01:39 AM,Start Pre-Purge,10.00
7/11/2024 11:01:49 AM,Pre-Purge Complete,10.056745
7/11/2024 11:02:10 AM,Boiler Initialized,0
7/11/2024 11:02:12 AM,Boiler Ready,0
7/11/2024 11:02:13 AM,Start Pre-Purge,10.00
7/11/2024 11:02:26 AM,Pre-Purge Complete,10.038991
7/11/2024 11:17:31 AM,Boiler Initialized,0
7/11/2024 11:17:45 AM,Boiler Ready,0
7/11/2024 11:17:46 AM,Start Pre-Purge,10.00
7/11/2024 11:17:57 AM,Pre-Purge Complete,10.074857
7/11/2024 11:18:42 AM,Boiler Initialized,0
7/11/2024 11:19:13 AM,Boiler Initialized,0
7/11/2024 11:19:26 AM,Boiler Ready,0
7/11/2024 11:19:36 AM,Start Pre-Purge,10.00
7/11/2024 11:19:57 AM,Pre-Purge Complete,13.857949
7/11/2024 11:20:54 AM,Boiler Initialized,0
7/11/2024 11:21:00 AM,Boiler Ready,0
7/11/2024 11:21:01 AM,Start Pre-Purge,10.00
7/11/2024 11:21:11 AM,Pre-Purge Complete,10.023470
7/11/2024 11:21:23 AM,Pilot On,TRUE
7/11/2024 11:42:44 AM,Boiler Initialized,0
7/11/2024 11:42:47 AM,Boiler Ready,0
7/11/2024 11:42:48 AM,Start Pre-Purge,10.00
7/11/2024 11:42:58 AM,Pre-Purge Complete,10.064737
7/11/2024 11:43:06 AM,Pilot On,TRUE
7/11/2024 11:43:14 AM,Pilot Proved,30.252101
7/11/2024 11:44:50 AM,Boiler Initialized,0
7/11/2024 11:44:52 AM,Boiler Ready,0
7/11/2024 11:44:53 AM,Start Pre-Purge,10.00
7/11/2024 11:45:03 AM,Pre-Purge Complete,10.053284
7/11/2024 11:45:37 AM,Pilot On,TRUE
7/11/2024 11:45:54 AM,Pilot Proved,42.016807
7/11/2024 11:47:46 AM,Boiler Initialized,0
7/11/2024 11:47:49 AM,Boiler Ready,0
7/11/2024 11:47:50 AM,Start Pre-Purge,10.00
7/11/2024 11:48:01 AM,Pre-Purge Complete,10.071996
7/11/2024 11:48:03 AM,Pilot On,TRUE
7/11/2024 11:48:06 AM,Pilot Proved,32.773109
7/11/2024 11:48:06 AM,Pilot Proved,34.453782
7/11/2024 11:48:06 AM,Pilot Proved,36.974790
7/11/2024 11:48:06 AM,Pilot Proved,37.815126
7/11/2024 11:48:06 AM,Pilot Proved,40.336134
7/11/2024 11:48:06 AM,Pilot Proved,42.857143
7/11/2024 11:48:06 AM,Pilot Proved,43.697479
7/11/2024 11:48:06 AM,Pilot Proved,45.378151
7/11/2024 11:48:06 AM,Pilot Proved,47.058824
7/11/2024 11:48:06 AM,Pilot Proved,47.899160
7/11/2024 11:48:06 AM,Pilot Proved,48.739496
7/11/2024 11:48:06 AM,Pilot Proved,49.579832
7/11/2024 11:48:07 AM,Pilot Proved,48.739496
7/11/2024 11:48:07 AM,Pilot Proved,46.218487
7/11/2024 11:48:07 AM,Pilot Proved,44.537815
7/11/2024 11:48:08 AM,Pilot Proved,43.697479
7/11/2024 11:48:08 AM,Pilot Proved,42.857143
7/11/2024 11:48:08 AM,Pilot Proved,42.016807
7/11/2024 11:48:08 AM,Pilot Proved,41.176471
7/11/2024 11:48:08 AM,Pilot Proved,40.336134
7/11/2024 11:48:08 AM,Pilot Proved,38.655462
7/11/2024 11:48:08 AM,Pilot Proved,37.815126
7/11/2024 11:48:08 AM,Pilot Proved,36.134454
7/11/2024 11:48:08 AM,Pilot Proved,35.294118
7/11/2024 11:48:08 AM,Pilot Proved,33.613445
7/11/2024 11:48:08 AM,Pilot Proved,31.092437
7/11/2024 11:48:09 AM,Pilot Proved,32.773109
7/11/2024 11:48:10 AM,Pilot Proved,37.815126
7/11/2024 11:48:10 AM,Pilot Proved,41.176471
7/11/2024 11:48:10 AM,Pilot Proved,43.697479
7/11/2024 11:48:10 AM,Pilot Proved,44.537815
7/11/2024 11:48:10 AM,Pilot Proved,45.378151
7/11/2024 11:48:10 AM,Pilot Proved,47.058824
7/11/2024 11:48:10 AM,Pilot Proved,47.899160
7/11/2024 11:48:10 AM,Pilot Proved,48.739496
7/11/2024 11:48:10 AM,Pilot Proved,49.579832
7/11/2024 11:48:10 AM,Pilot Proved,50.420168
